Color	Name	Description	Minimum	Maximum
8637656	"0"	""	0.000000	0.000000
7327940	"<25"	""	0.000000	25.000000
6018220	"<50"	""	25.000000	50.000000
6542475	"<75"	""	50.000000	75.000000
7853131	"<100"	""	75.000000	100.000000
8639530	"<125"	""	100.000000	125.000000
11326474	"<150"	""	125.000000	150.000000
12632094	"<175"	""	150.000000	175.000000
14063430	"<200"	""	175.000000	200.000000
14189403	"<250"	""	200.000000	250.000000
11821882	"<300"	""	250.000000	300.000000
12079914	"<350"	""	300.000000	350.000000
11806234	"<400"	""	350.000000	400.000000
10884634	"<500"	""	400.000000	500.000000
8587314	">500"	""	500.000000	10000.000000
