Color	Name	Description	Minimum	Maximum
12189695	"0"	""	0.000000	0.000000
10419709	"<25"	""	0.000000	25.000000
11072233	"<50"	""	25.000000	50.000000
11921361	"<75"	""	50.000000	75.000000
12770234	"<100"	""	75.000000	100.000000
13488550	"<125"	""	100.000000	125.000000
14337423	"<150"	""	125.000000	150.000000
15120759	"<175"	""	150.000000	175.000000
15839075	"<200"	""	175.000000	200.000000
15835468	"<250"	""	200.000000	250.000000
14387253	"<300"	""	250.000000	300.000000
13136417	"<350"	""	300.000000	350.000000
11688201	"<400"	""	350.000000	400.000000
9258759	"<500"	""	400.000000	500.000000
7945478	">500"	""	500.000000	10000.000000
